评分指标 \ 模型,answer_length,avg_paragraph_length,certainty_count,confidence_score,has_answer,has_conclusion,has_enumeration,has_examples,has_reasoning,paragraph_count,reasoning_steps,technical_term_count,technical_term_density,uncertainty_count
answer_length,1.0,0.7698287247743258,0.15325673006112484,-0.4149402517858371,,-0.7874933533275653,0.24782605883803516,-0.06277989063876659,0.04114812292968293,0.4997451652936562,0.8776142067049033,0.5003353734155258,-0.7597200073089565,0.3637364602331117
avg_paragraph_length,0.7698287247743258,1.0,-0.09815546720299294,-0.4590411545222824,,-0.8641962165108082,0.5917162595168629,0.34019049886924774,0.13595478415856452,-0.15811729326663984,0.5986619190394435,0.6206295299100231,-0.4222939332618304,0.3552745984294002
certainty_count,0.15325673006112484,-0.09815546720299294,1.0,-0.12081261246880007,,0.0423903903399297,-7.940483482839619e-17,0.08964214570007947,0.29317636492797444,0.4229389565886152,0.10867813194990047,0.199709508610452,-0.10508627023629696,0.07783024279538833
confidence_score,-0.4149402517858371,-0.4590411545222824,-0.12081261246880007,1.0,,0.5849056603773582,-0.7742068369725846,0.03723966236192525,-0.2609850715025093,-0.07851391942436174,-0.5855948595606014,-0.028032980822995712,0.48851513721429474,-0.9774865891674083
has_answer,,,,,,,,,,,,,,
has_conclusion,-0.7874933533275653,-0.8641962165108082,0.0423903903399297,0.5849056603773582,,1.0,-0.4074772826171499,-0.2748641745761146,0.0412081691846066,-0.07346331642045478,-0.6361320140066885,-0.6260400509672291,0.4121420488255847,-0.4821035451593538
has_enumeration,0.24782605883803516,0.5917162595168629,-7.940483482839619e-17,-0.7742068369725846,,-0.4074772826171499,1.0,0.19148542155126755,0.4449719092257398,-0.3966338812484253,0.357762897292205,0.004835531557658741,-0.3366096077023414,0.7481425763099123
has_examples,-0.06277989063876659,0.34019049886924774,0.08964214570007947,0.03723966236192525,,-0.2748641745761146,0.19148542155126755,1.0,0.3356585566713095,-0.5350994964826079,-0.3541572209727323,0.5997525741856607,0.5165767496479307,-0.08682327066979079
has_reasoning,0.04114812292968293,0.13595478415856452,0.29317636492797444,-0.2609850715025093,,0.0412081691846066,0.4449719092257398,0.3356585566713095,1.0,-0.0668526270464876,0.03666296181462602,-0.0945433266221988,-0.11536664055282221,0.306841886747715
paragraph_count,0.4997451652936562,-0.15811729326663984,0.4229389565886152,-0.07851391942436174,,-0.07346331642045478,-0.3966338812484253,-0.5350994964826079,-0.0668526270464876,1.0,0.5684635514516021,-0.04882018017198018,-0.5977699565416431,0.1278561606675127
reasoning_steps,0.8776142067049033,0.5986619190394435,0.10867813194990047,-0.5855948595606014,,-0.6361320140066885,0.357762897292205,-0.3541572209727323,0.03666296181462602,0.5684635514516021,1.0,0.173982938821724,-0.9137222495814369,0.5688401086547062
technical_term_count,0.5003353734155258,0.6206295299100231,0.199709508610452,-0.028032980822995712,,-0.6260400509672291,0.004835531557658741,0.5997525741856607,-0.0945433266221988,-0.04882018017198018,0.173982938821724,1.0,0.1565237551699332,-0.11538165323748491
technical_term_density,-0.7597200073089565,-0.4222939332618304,-0.10508627023629696,0.48851513721429474,,0.4121420488255847,-0.3366096077023414,0.5165767496479307,-0.11536664055282221,-0.5977699565416431,-0.9137222495814369,0.1565237551699332,1.0,-0.5281990738877895
uncertainty_count,0.3637364602331117,0.3552745984294002,0.07783024279538833,-0.9774865891674083,,-0.4821035451593538,0.7481425763099123,-0.08682327066979079,0.306841886747715,0.1278561606675127,0.5688401086547062,-0.11538165323748491,-0.5281990738877895,1.0
