评分指标 \ 模型,exact_match,extracted_answer,extraction_confidence,has_answer,has_calculation,has_reasoning,numerical_match,reference_answer,step_count,text_length
exact_match,1.0,-0.21453483630008177,-0.3793105188334938,4.3491819210484455e-17,-0.03297717121066978,-0.5606119105813879,1.0,-0.18687063686046265,-0.32622732543293964,-0.07355700465426807
extracted_answer,-0.21453483630008177,1.0,-0.4015084444485366,0.30979475090476116,-0.23784637619409799,0.4095872349770627,-0.21453483630008185,0.7279631466804821,-0.39013703863449,-0.3151214665756654
extraction_confidence,-0.3793105188334938,-0.4015084444485366,1.0,0.1639002720789877,0.6677564360156678,0.3552154683639637,-0.3793105188334938,-0.6578064228962288,0.7062427186107247,0.63641927322734
has_answer,4.3491819210484455e-17,0.30979475090476116,0.1639002720789877,1.0,0.34198686714702664,0.3130495168499704,-1.0872954802621114e-17,0.14907119849998604,-0.0859787916978389,0.08507442238274156
has_calculation,-0.03297717121066978,-0.23784637619409799,0.6677564360156678,0.34198686714702664,1.0,0.3529411764705882,-0.03297717121066978,-0.29411764705882343,0.32846829703911856,0.407444120057662
has_reasoning,-0.5606119105813879,0.4095872349770627,0.3552154683639637,0.3130495168499704,0.3529411764705882,1.0,-0.560611910581388,0.2666666666666665,0.44664822167932305,0.4806045736333446
numerical_match,1.0,-0.21453483630008185,-0.3793105188334938,-1.0872954802621114e-17,-0.03297717121066978,-0.560611910581388,1.0,-0.18687063686046265,-0.32622732543293964,-0.07355700465426807
reference_answer,-0.18687063686046265,0.7279631466804821,-0.6578064228962288,0.14907119849998604,-0.29411764705882343,0.2666666666666665,-0.18687063686046265,1.0,-0.595645399395561,-0.5949983857683366
step_count,-0.32622732543293964,-0.39013703863449,0.7062427186107247,-0.0859787916978389,0.32846829703911856,0.44664822167932305,-0.32622732543293964,-0.595645399395561,1.0,0.9338331311780564
text_length,-0.07355700465426807,-0.3151214665756654,0.63641927322734,0.08507442238274156,0.407444120057662,0.4806045736333446,-0.07355700465426807,-0.5949983857683366,0.9338331311780564,1.0
