model,quality,energy,speed,energy_cost,time_cost,total_cost,cost_per_token,cbr,qpc,quality_norm,cost_norm,speed_norm,scenario_score,rank
qwen_4b_ol_q4km,-0.043300477007354,1.194583333333333,59.345454545454544,2.6546296296296288e-05,0.0014042075163398693,0.0014307538126361655,1.4307538126361655e-06,inf,-30.264100381862917,0.4991025285908173,1.0,1.0,0.8497307585772452,1
deepseek_8b_ol_q4km,0.7255444011239909,1.9735955056179777,41.08482400461627,4.385767790262173e-05,0.002028323970037453,0.0020721816479400746,2.0721816479400747e-06,0.0028560369906099684,350.13552110416765,0.8607714845625084,0.9365036660957584,0.6494019200954384,0.7989433132356555,2
gemma_4b_ol_q4km,0.3643231048096987,1.3921900826446283,40.19933554817276,3.093755739210285e-05,0.0020730027548209367,0.0021039403122130396,2.10394031221304e-06,0.005774929683122942,173.16228159841842,0.6908509546498246,0.9333598069739081,0.6324008339657753,0.7402235620734299,3
qwen_8b_ol_q4km,-0.2402492729674613,1.9985416666666669,41.12903225806452,4.441203703703704e-05,0.0020261437908496733,0.0020705558278867105,2.0705558278867106e-06,inf,-116.03129446293124,0.40645670699427267,0.9366646095523636,0.6502507039717798,0.6630366765527027,4
qwen25_3b_hf_4bit,1.0215198483291554,1.75040490797546,17.347807577692635,3.889788684389911e-05,0.004803680981595092,0.004842578868438991,4.842578868438991e-06,0.00474056267860065,210.94542310643732,1.0,0.6622560309321928,0.19365903852677016,0.5761404246903659,5
qwen25_7b_hf_4bit,0.6893365043401447,3.4128483353884094,17.634268319199826,7.584107411974244e-05,0.004725647348951911,0.004801488423071654,4.801488423071654e-06,0.006965376696056151,143.56725323501996,0.843739086220242,0.6663236633231104,0.19915899022426767,0.5326824209527128,6
phi3_4b_hf_4bit,-0.4391826193991572,2.30587786259542,16.93600517129929,5.1241730279898226e-05,0.004920483460559796,0.004971725190839694,4.971725190839694e-06,inf,-88.33606093280108,0.3128773416913863,0.649471556111616,0.185752568229444,0.3630056966326783,7
gemma_2b_hf_4bit,-1.1043050681768785,1.4364663461538465,22.47433819556996,3.1921474358974364e-05,0.0037079326923076927,0.003739854166666667,3.739854166666667e-06,inf,-295.28024863096357,0.0,0.7714171430860107,0.2920867345025536,0.3482598367268247,8
phi3_4b_hf_8bit,-0.5603408297877388,2.643333333333333,12.376079309242083,5.8740740740740735e-05,0.006733419465977607,0.006792160206718348,6.792160206718348e-06,inf,-82.49817624052615,0.25588383792358077,0.46926274187386563,0.09820349657120875,0.2568253725677174,9
qwen25_3b_hf_8bit,0.6065902888028696,2.52360736196319,7.261225944404847,5.6080163599182e-05,0.01147648261758691,0.011532562781186093,1.1532562781186093e-05,0.019012112448991016,52.59804783308393,0.8048148009252538,0.0,0.0,0.24144444027757614,10
gemma_2b_hf_8bit,-1.019935880067269,2.215366568914956,11.690092560850188,4.923036819811014e-05,0.007128543499511242,0.0071777738677093516,7.1777738677093514e-06,inf,-142.0964074468345,0.039687740723387974,0.43109000843656364,0.08503277739542218,0.1752464357061544,11
